s.no,topic,title,url
165,Backbone.js, Backbone.js - A Getting Started Guide,https://www.youtube.com/watch?v=ig-zWy0moAw
166,Blockchain Programming,Blockchain across Oracle,https://www.packtpub.com/business/blockchain-across-oracle
167,Bootstrap,Bootstrap Tutorial,http://www.tutorialrepublic.com/twitter-bootstrap-tutorial/
168,Bootstrap,Bootstrap 4 Tutorial,https://www.quackit.com/bootstrap/bootstrap_4/tutorial/
169,Bootstrap,Bootstrap 4 - Responsive Web Design Tutorials,https://www.youtube.com/playlist?list=PLUoqTnNH-2XyNhhLuYrrmrmV46jVw6RHF
170,Bootstrap,Learn Bootstrap 4 in 30 minutes by building a landing page website,https://medium.freecodecamp.org/learn-bootstrap-4-in-30-minute-by-building-a-landing-page-website-guide-for-beginners-f64e03833f33
171,Bootstrap,Introduction to Bootstrap - A Tutorial,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/introduction-to-bootstrap-a-tutorial-1
172,Bootstrap,Bootstrap 4 tutorial,http://mdbootstrap.com/bootstrap-tutorial/
173,Bootstrap,Learn Bootstrap Development By Building 10 Projects,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/
174,Bootstrap,How to Bootstrap,http://bootstrap.themes.guide/how-to.html
175,Bootstrap,Bootstrap 4: Everything You Need to Know,https://medium.freecodecamp.org/bootstrap-4-everything-you-need-to-know-c750991f6784
176,Bootstrap,Bootstrap Beginner Crash Course,https://www.youtube.com/watch?v=5GcQtLDGXy8
177,C#,C# Tutorial,https://www.sololearn.com/Course/CSharp
178,C#,C# Tutorial,https://www.cosmiclearn.com/csharp
179,C#,C# Tutorial,https://www.youtube.com/playlist?list=PLGLfVvz_LVvRX6xK1oi0reKci6ignjdSa
180,C#,"C# Intermediate: Classes, Interfaces and OOP",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-intermediate-classes-interfaces-and-oop/
181,C#,C# Fundamentals for Absolute Beginners,https://mva.microsoft.com/en-us/training-courses/c-fundamentals-for-absolute-beginners-16169
182,C++,Advanced C++/Graphics Tutorials,https://www.youtube.com/playlist?list=PLSPw4ASQYyymu3PfG9gxywSPghnSMiOAW
183,C++,LearnCpp,http://www.learncpp.com
184,C++,Buckys C++ Programming Tutorials,https://www.youtube.com/playlist?list=PLAE85DE8440AA6B83
185,C++,C++: From Beginner to Expert,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/video-course-c-from-beginner-to-expert/
186,C++,C++ Tutorial,https://www.sololearn.com/Course/CPlusPlus/
187,C, Learning to Program in C by Jonathan Engelsma,https://www.youtube.com/playlist?list=PLkB3phqR3X40reMCBYSoNUPbDvM4kybMs
188,C,Essential C,http://cslibrary.stanford.edu/101/
189,C,A to Z of C,http://guideme.itgo.com/atozofc/
190,C,Learn C & Build Your Own Lisp,http://www.buildyourownlisp.com/contents
191,C,Pointers and Memory,http://cslibrary.stanford.edu/102/
192,C#,C# Tutorial - Full Course for Beginners,https://youtu.be/GhQdlIFylQ8
193,C#,C# Basics for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-tutorial-for-beginners/
194,C#,The C# Yellow Book,http://www.robmiles.com/c-yellow-book/
195,C#,C# Advanced Topics: Take Your C# Skills to the Next Level,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-advanced/
196,C,Learn C The Hard Way,https://learncodethehardway.org/c/
197,C,C Programming For Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/c-programming-for-beginners/
198,C,C Programming Tutorial,https://www.youtube.com/playlist?list=PL6gx4Cwl9DGAKIXv8Yr6nhGJ9Vlcjyymq
199,C,C - Geeks for Geeks,http://www.geeksforgeeks.org/c/
200,C#,C# Fundamentals for Absolute Beginners,http://channel9.msdn.com/Series/C-Fundamentals-for-Absolute-Beginners
201,C#,Programming for Complete Beginners in C#,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/programming-for-complete-beginners-in-csharp/
202,C,Advanced Linux Programming,http://www.cse.hcmut.edu.vn/~hungnq/courses/nap/alp.pdf
203,C++,C++ Tutorial - Absolute n00b,http://www.youtube.com/playlist?list=PL1D10C030FDCE7CE0
204,C++,Entire C++ language in one video,https://www.youtube.com/watch?v=Rub-JsjMhWY&hd=1
205,C++,C++ For C Programmers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/c-plus-plus-a
